# file...... H1_power.csv
# date...... Fri Jun 15 01:00:32 2018
# user...... ec2-user
# host...... (null)
# target.... triplex_meter 8
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power, price
2017-07-01 12:00:00 EDT,+0,+0,+50
2017-07-01 12:01:00 EDT,+0,+0,+50
2017-07-01 12:02:00 EDT,+0,+0,+50
2017-07-01 12:03:00 EDT,+0,+0,+50
2017-07-01 12:04:00 EDT,+0,+0,+50
2017-07-01 12:05:00 EDT,+0,+0,+50
2017-07-01 12:06:00 EDT,+0,+0,+50
2017-07-01 12:07:00 EDT,+0,+0,+50
2017-07-01 12:08:00 EDT,+0,+0,+50
2017-07-01 12:09:00 EDT,+3456.04,+866.165,+50
2017-07-01 12:10:00 EDT,+3455.93,+866.138,+0.138226
2017-07-01 12:11:00 EDT,+3455.83,+866.112,+0.138226
2017-07-01 12:12:00 EDT,+3455.72,+866.085,+0.138226
2017-07-01 12:13:00 EDT,+0,+0,+0.138226
2017-07-01 12:14:00 EDT,+0,+0,+0.138226
2017-07-01 12:15:00 EDT,+0,+0,+0.0441466
2017-07-01 12:16:00 EDT,+0,+0,+0.0441466
2017-07-01 12:17:00 EDT,+0,+0,+0.0441466
2017-07-01 12:18:00 EDT,+0,+0,+0.0441466
2017-07-01 12:19:00 EDT,+0,+0,+0.0441466
2017-07-01 12:20:00 EDT,+0,+0,+0.467678
2017-07-01 12:21:00 EDT,+0,+0,+0.467678
2017-07-01 12:22:00 EDT,+0,+0,+0.467678
2017-07-01 12:23:00 EDT,+0,+0,+0.467678
2017-07-01 12:24:00 EDT,+0,+0,+0.467678
2017-07-01 12:25:00 EDT,+0,+0,+0.134703
2017-07-01 12:26:00 EDT,+0,+0,+0.134703
2017-07-01 12:27:00 EDT,+0,+0,+0.134703
2017-07-01 12:28:00 EDT,+0,+0,+0.134703
2017-07-01 12:29:00 EDT,+0,+0,+0.134703
2017-07-01 12:30:00 EDT,+0,+0,+0.482653
2017-07-01 12:31:00 EDT,+0,+0,+0.482653
2017-07-01 12:32:00 EDT,+0,+0,+0.482653
2017-07-01 12:33:00 EDT,+0,+0,+0.482653
2017-07-01 12:34:00 EDT,+0,+0,+0.482653
2017-07-01 12:35:00 EDT,+0,+0,+0.401997
2017-07-01 12:36:00 EDT,+0,+0,+0.401997
2017-07-01 12:37:00 EDT,+0,+0,+0.401997
2017-07-01 12:38:00 EDT,+0,+0,+0.401997
2017-07-01 12:39:00 EDT,+0,+0,+0.401997
2017-07-01 12:40:00 EDT,+0,+0,+0.225703
2017-07-01 12:41:00 EDT,+0,+0,+0.225703
2017-07-01 12:42:00 EDT,+0,+0,+0.225703
2017-07-01 12:43:00 EDT,+0,+0,+0.225703
2017-07-01 12:44:00 EDT,+0,+0,+0.225703
2017-07-01 12:45:00 EDT,+3452.19,+865.201,+0.539406
2017-07-01 12:46:00 EDT,+3452.08,+865.174,+0.539406
2017-07-01 12:47:00 EDT,+3451.98,+865.147,+0.539406
2017-07-01 12:48:00 EDT,+3451.87,+865.12,+0.539406
2017-07-01 12:49:00 EDT,+0,+0,+0.539406
2017-07-01 12:50:00 EDT,+0,+0,+0.0490348
2017-07-01 12:51:00 EDT,+0,+0,+0.0490348
2017-07-01 12:52:00 EDT,+0,+0,+0.0490348
2017-07-01 12:53:00 EDT,+0,+0,+0.0490348
2017-07-01 12:54:00 EDT,+0,+0,+0.0490348
2017-07-01 12:55:00 EDT,+0,+0,+0.0201658
2017-07-01 12:56:00 EDT,+0,+0,+0.0201658
2017-07-01 12:57:00 EDT,+0,+0,+0.0201658
2017-07-01 12:58:00 EDT,+0,+0,+0.0201658
# end of tape
