# file...... H1_temperature.csv
# date...... Tue Aug 14 00:30:39 2018
# user...... ec2-user
# host...... (null)
# target.... house 28
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,total_load,air_temperature,outdoor_temperature,T_c_set_0,T_h_set_0,T_max,T_min,k,p_bid,q_bid,m,n,system_mode,cooling_setpoint,heating_setpoint
2017-07-01 12:00:00 EDT,+0,+68.7243,+64.582,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0,+0,OFF,+71,+66
2017-07-01 12:05:00 EDT,+0,+68.9892,+64.567,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0,+0,OFF,+71,+66
2017-07-01 12:10:00 EDT,+0,+69.1799,+64.552,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0,+0,OFF,+71,+66
2017-07-01 12:15:00 EDT,+0,+69.3433,+64.537,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0,+0,OFF,+71,+66
2017-07-01 12:20:00 EDT,+0,+69.496,+64.522,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0,+0,OFF,+71,+66
2017-07-01 12:25:00 EDT,+4.63185,+69.6437,+64.507,+71,+66,+75.6,+61.4,+0.4,+0.0132487,+0.00599199,+0.102703,-7.13789,COOL,+74.3687,+66
2017-07-01 12:30:00 EDT,+0,+67.5933,+64.492,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0.102703,-7.13789,OFF,+74.3687,+66
2017-07-01 12:35:00 EDT,+0,+68.781,+64.477,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0.102703,-7.13789,OFF,+74.3687,+66
2017-07-01 12:40:00 EDT,+0,+69.2902,+64.462,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0.102703,-7.13789,OFF,+74.3687,+66
2017-07-01 12:45:00 EDT,+4.62891,+69.5605,+64.447,+71,+66,+75.6,+61.4,+0.4,+0.00397462,+0.0059879,+0.102703,-7.13789,COOL,+70.2793,+66
2017-07-01 12:50:00 EDT,+0,+67.5495,+64.432,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0.102703,-7.13789,OFF,+70.2793,+66
2017-07-01 12:55:00 EDT,+0,+68.75,+64.417,+71,+66,+75.6,+61.4,+0.4,+0,+0,+0.102703,-7.13789,OFF,+70.2793,+66
# end of tape
